episode,length,total_reward,avg_q,exploration
0,9,-7.0,-0.0033897466,1.0
1,25,3.0,0.017690158,0.9950248756218907
2,15,-7.0,0.03575608,0.990074503106359
3,35,13.0,0.085955575,0.98514875930981
4,12,-6.0,0.097467124,0.9802475217013037
5,14,-10.0,0.103735045,0.9753706683595063
6,13,-11.0,0.108498596,0.970518077969658
7,30,4.0,0.10796086,0.9656896298205554
8,14,-12.0,0.110264584,0.9608852038015477
9,32,-30.0,0.09077935,0.9561046803995501
10,32,-24.0,0.0314857,0.9513479406960699
11,65,-47.0,-0.13585894,0.9466148663642487
12,13,-5.0,-0.18109259,0.9419053396659193
13,21,-1.0,-0.26280722,0.937219243448676
14,19,-7.0,-0.31434312,0.9325564611429613
15,14,-10.0,-0.35560098,0.9279168767591656
16,14,-10.0,-0.39061344,0.9233003748847419
17,24,4.0,-0.4483776,0.9187068406813353
18,18,0.0,-0.4800787,0.9141361598819259
19,21,1.0,-0.50575006,0.909588218787986
20,12,-8.0,-0.51578486,0.9050629042666528
21,13,-11.0,-0.527223,0.9005601037479133
22,18,-6.0,-0.54725134,0.8960797052218044
