episode,length,total_reward,avg_q,exploration
0,200,-200.0,-0.6389255,1.0
1,200,-200.0,-0.9700881,0.9950248756218907
2,200,-200.0,-0.97923726,0.990074503106359
3,200,-200.0,-0.97290593,0.98514875930981
4,200,-200.0,-0.9770117,0.9802475217013037
5,200,-200.0,-1.9941261,0.9753706683595063
6,200,-200.0,-1.9690866,0.970518077969658
7,200,-200.0,-1.9614522,0.9656896298205554
8,200,-200.0,-1.9674594,0.9608852038015477
9,200,-200.0,-1.960295,0.9561046803995501
10,200,-200.0,-2.915316,0.9513479406960699
11,200,-200.0,-2.9340968,0.9466148663642487
12,200,-200.0,-2.9506836,0.9419053396659193
13,200,-200.0,-2.9377236,0.937219243448676
14,200,-200.0,-2.9419887,0.9325564611429613
15,200,-200.0,-3.8904972,0.9279168767591656
16,200,-200.0,-3.9132118,0.9233003748847419
17,200,-200.0,-3.919932,0.9187068406813353
18,200,-200.0,-3.907666,0.9141361598819259
19,200,-200.0,-3.9248633,0.909588218787986
20,200,-200.0,-4.907445,0.9050629042666528
21,200,-200.0,-4.8900995,0.9005601037479133
22,200,-200.0,-4.897752,0.8960797052218044
23,200,-200.0,-4.895814,0.8916215972356263
24,200,-200.0,-4.904845,0.8871856688911706
25,200,-200.0,-5.8626614,0.8827718098419609
26,200,-200.0,-5.861513,0.8783799102905084
27,200,-200.0,-5.870759,0.8740098609855806
28,200,-200.0,-5.868745,0.8696615532194834
29,200,-200.0,-5.872329,0.8653348788253566
30,200,-200.0,-6.8175673,0.8610297301744844
31,200,-200.0,-6.82643,0.8567460001736164
32,200,-200.0,-6.831144,0.8524835822623049
33,200,-200.0,-6.8366165,0.8482423704102537
34,200,-200.0,-6.8330774,0.8440222591146804
35,200,-200.0,-7.745755,0.839823143397692
36,200,-200.0,-7.7776184,0.8356449188036738
37,200,-200.0,-7.7912827,0.8314874813966904
38,200,-200.0,-7.784059,0.827350727757901
39,200,-200.0,-7.7746735,0.8232345549829861
40,200,-200.0,-8.69263,0.8191388606795883
41,200,-200.0,-8.700682,0.8150635429647646
42,200,-200.0,-8.701393,0.8110085004624524
43,200,-200.0,-8.705553,0.8069736323009478
44,200,-200.0,-8.713263,0.8029588381103959
45,200,-200.0,-9.635464,0.7989640180202945
46,200,-200.0,-9.649031,0.7949890726570096
47,200,-200.0,-9.632283,0.7910339031413032
48,200,-200.0,-9.655914,0.7870984110858739
49,200,-200.0,-9.637552,0.7831824985929094
50,200,-200.0,-10.579508,0.7792860682516513
51,200,-200.0,-10.553125,0.7754090231359715
52,200,-200.0,-10.557178,0.7715512668019617
53,200,-200.0,-10.545858,0.7677127032855341
54,200,-200.0,-10.540459,0.763893237100034
55,200,-200.0,-11.43295,0.7600927732338647
56,200,-200.0,-11.44692,0.7563112171481242
57,200,-200.0,-11.4435625,0.752548474774253
58,200,-200.0,-11.428653,0.7488044525116946
59,200,-200.0,-11.445063,0.7450790572255668
60,200,-200.0,-12.351074,0.7413721962443451
61,200,-200.0,-12.319348,0.7376837773575574
62,200,-200.0,-12.331314,0.73401370881349
63,200,-200.0,-12.341243,0.7303618993169055
64,200,-200.0,-12.333205,0.7267282580267718
65,200,-200.0,-13.198392,0.7231126945540018
66,200,-200.0,-13.202225,0.719515118959206
67,200,-200.0,-13.188062,0.7159354417504538
68,200,-200.0,-13.200223,0.7123735738810486
69,200,-200.0,-13.179041,0.7088294267473121
70,200,-200.0,-14.051692,0.7053029121863803
71,200,-200.0,-14.053932,0.7017939424740103
72,200,-200.0,-14.040228,0.6983024303223984
73,200,-200.0,-14.022713,0.6948282888780084
74,200,-200.0,-14.020258,0.6913714317194114
75,200,-200.0,-14.852972,0.6879317728551358
76,200,-200.0,-14.869207,0.6845092267215283
77,200,-200.0,-14.878061,0.6811037081806252
78,200,-200.0,-14.856653,0.6777151325180351
79,200,-200.0,-14.860776,0.674343415440831
80,200,-200.0,-15.67986,0.6709884730754538
81,200,-200.0,-15.707651,0.6676502219656257
82,200,-200.0,-15.693372,0.6643285790702744
83,200,-200.0,-15.696307,0.6610234617614672
84,200,-200.0,-15.709955,0.6577347878223555
85,200,-200.0,-16.516262,0.6544624754451299
